届出日,届出番号,不具合装置,状況,対策
2024年5月29日,改善対策 国-0692-0,その他,フォークリフトの車両銘板において、銘板打刻用の登録データ作成時の確認が不十分なため、タイヤ空気圧、および許容荷重に設計値と異なった値が打刻されている。そのため、タイヤ空気圧を銘板通りに調整すると、タイヤの負荷率が増加する。また、許容荷重においては、想定を超える荷重の荷を積載するおそれがある。,全車両、正しい値を打刻した銘板に交換する。
2024年5月29日,リコール 国-5487-0,ホイール,アルミホイール取付部において、ホイールの加工が不適切なため、締付面の寸法が不足してハブナットが底突きし、締結力が不足しているものがある。そのため、そのままの状態で走行を続けると、異音が発生し、最悪の場合、タイヤが脱落するおそれがある。,全車両、アルミホイールの製造番号を点検し、該当する場合はホイールの取付部を確認して、寸法が不足しているものは当該ホイールを良品に、ブレーキディスク、ハブボルトおよびハブナットを新品に交換する。
2024年5月8日,リコール 国-5478-0,その他(保安灯火),ライトコントロールコンピュータにおいて、点灯制御プログラムの設定を誤ったため、車幅灯が他の灯火器と同期して点灯・消灯すべきところ、方向指示器または非常点滅表示灯を操作した場合、正しく作動しないことがある。そのため、保安基準第３４条（車幅灯の基準）に適合しない。,全車両、ライトコントロールコンピュータのプログラムを対策仕様に修正した前照灯に交換する。
2024年4月17日,リコール 国-5474-0,その他(その他),後席ドアハンドルの開スイッチの防水性能が不十分なため、洗車等で多量の水がかかるとスイッチ内部に浸入することがある。そのため、そのままの状態で使用を続けると、スイッチ内部の回路が短絡して作動し、最悪の場合、走行中に後席ドアが開くおそれがある。,全車両、後席ドアハンドルの開スイッチを対策品と交換する。なお、対策品の準備が整うまで、暫定的にヒューズを取外して開スイッチの作動を停止し、ドア開を手動操作に限定する。
2024年2月28日,リコール 国-5459-0,その他(その他),コンビネーションメータのブレーキ警告灯の点灯制御プログラムを誤ったため、エンジン始動時の警告灯作動確認でブレーキ警告灯が点灯しない。また、使用過程でブレーキに故障が生じた際、ＡＢＳ警告灯やスリップ表示灯が点灯するとともにメータ中央部に警告文は表示されるが、ブレーキ警告灯が点灯しない。,全車両、コンビネーションメータのプログラムを対策仕様に修正する。
2024年2月21日,リコール 国-5455-1,Ａ／Ｔ,（１）自動変速機（トランスミッション）において、多板クラッチのディスク形状および駆動伝達に関する制御の検討が不十分なため、ニュートラルレンジにシフトした際にクラッチが切り離されないものがある。そのため、駆動力が伝達され、ブレーキペダルが踏まれていないと車両が動き出すおそれがある。（２）パノラミックビューモニターにおいて、制御プログラムが不適切なため、カメラ映像が映らず、車両周辺が確認できないことがある。そのため、保安基準第４４条（後写鏡等の基準）に適合しないおそれがある。,（１）全車両、トランスミッション用制御コンピュータのプログラムを対策仕様に修正する。（２）全車両、パノラミックビューモニター用制御コンピュータのプログラムを対策仕様に修正する。
2024年2月21日,リコール 国-5455-2,後写鏡,（１）自動変速機（トランスミッション）において、多板クラッチのディスク形状および駆動伝達に関する制御の検討が不十分なため、ニュートラルレンジにシフトした際にクラッチが切り離されないものがある。そのため、駆動力が伝達され、ブレーキペダルが踏まれていないと車両が動き出すおそれがある。（２）パノラミックビューモニターにおいて、制御プログラムが不適切なため、カメラ映像が映らず、車両周辺が確認できないことがある。そのため、保安基準第４４条（後写鏡等の基準）に適合しないおそれがある。,（１）全車両、トランスミッション用制御コンピュータのプログラムを対策仕様に修正する。（２）全車両、パノラミックビューモニター用制御コンピュータのプログラムを対策仕様に修正する。
2024年2月20日,リコール 国-5449-0,シートベルト,後向き座席に取付けた２点式シートベルトにおいて、長さ調整部品を反転して取り付けたため、衝突時に長さ調整部品が破損することがある。そのため、ベルトが緩み、乗員を確実に拘束できないおそれがある。,長さ調整部品を正しい向きに取り付け直す。
2024年1月31日,リコール 国-5445-0,緩衝アーム/ロッド,前輪ロアアームのボールジョイント取付部において、使用環境に対する耐久性の検討が不十分なため、降雪地域で融雪剤が頻繁にかかると、腐食して亀裂が生じることがある。そのため、そのまま使用を続けると亀裂が進展し、最悪の場合、ロアアームが破断し、ボールジョイントが脱落して走行不能となるおそれがある。,全車両、左右ロアアームを対策品に交換する。なお、交換用部品の準備に時間を要することから、部品の準備ができ次第、使用者に改めて案内し対策品に交換する。
2024年1月26日,リコール 国-5434-0,燃料ポンプ,燃料ポンプのインペラ（樹脂製羽根車）において、成形条件が不適切なため、樹脂密度が低くなって、燃料により膨潤して変形することがある。そのため、インペラがポンプケースと接触して燃料ポンプが作動不良となり、最悪の場合、走行中エンストに至るおそれがある。,全車両、低圧燃料ポンプを対策品と交換する。
