ml_type,judge,class,description,date_time,serial,stage,parameter,csv_file,image_file
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 08:01:00,1,1,1,serial_01_stage_1_param_1_OK.csv,serial_01_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 08:02:00,1,1,1,serial_01_stage_1_param_1_NG.csv,serial_01_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 08:03:00,1,1,2,serial_01_stage_1_param_2_OK.csv,serial_01_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 08:04:00,1,1,2,serial_01_stage_1_param_2_NG.csv,serial_01_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 08:05:00,1,2,1,serial_01_stage_2_param_1_OK.csv,serial_01_stage_2_param_1_OK.jpg
train,NG,stage_2_param_1_NG,時系列データは異常です。途中から値が0になっています。,2024/12/01 08:06:00,1,2,1,serial_01_stage_2_param_1_NG.csv,serial_01_stage_2_param_1_NG.jpg
train,OK,stage_2_param_2_OK,時系列データは正常です。,2024/12/01 08:07:00,1,2,2,serial_01_stage_2_param_2_OK.csv,serial_01_stage_2_param_2_OK.jpg
train,NG,stage_2_param_2_NG,時系列データは異常です。途中で値が突然大きく上昇しています。,2024/12/01 08:08:00,1,2,2,serial_01_stage_2_param_2_NG.csv,serial_01_stage_2_param_2_NG.jpg
train,OK,stage_3_param_1_OK,時系列データは正常です。,2024/12/01 08:09:00,1,3,1,serial_01_stage_3_param_1_OK.csv,serial_01_stage_3_param_1_OK.jpg
train,NG,stage_3_param_1_NG,時系列データは異常です。途中で値が大きく変動しています。,2024/12/01 08:10:00,1,3,1,serial_01_stage_3_param_1_NG.csv,serial_01_stage_3_param_1_NG.jpg
train,OK,stage_3_param_2_OK,時系列データは正常です。,2024/12/01 08:11:00,1,3,2,serial_01_stage_3_param_2_OK.csv,serial_01_stage_3_param_2_OK.jpg
train,NG,stage_3_param_2_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 08:12:00,1,3,2,serial_01_stage_3_param_2_NG.csv,serial_01_stage_3_param_2_NG.jpg
train,OK,stage_1_param_1_OK,時系列データは正常です。,2024/12/01 08:13:00,2,1,1,serial_02_stage_1_param_1_OK.csv,serial_02_stage_1_param_1_OK.jpg
train,NG,stage_1_param_1_NG,時系列データは異常です。途中で値が大きく低下しています。,2024/12/01 08:14:00,2,1,1,serial_02_stage_1_param_1_NG.csv,serial_02_stage_1_param_1_NG.jpg
train,OK,stage_1_param_2_OK,時系列データは正常です。,2024/12/01 08:15:00,2,1,2,serial_02_stage_1_param_2_OK.csv,serial_02_stage_1_param_2_OK.jpg
train,NG,stage_1_param_2_NG,時系列データは異常です。途中で値が大きく上昇しています。,2024/12/01 08:16:00,2,1,2,serial_02_stage_1_param_2_NG.csv,serial_02_stage_1_param_2_NG.jpg
train,OK,stage_2_param_1_OK,時系列データは正常です。,2024/12/01 08:17:00,2,2,1,serial_02_stage_2_param_1_OK.csv,serial_02_stage_2_param_1_OK.jpg
